                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     10,                 1.3532,                 2.0275,                 1.8674,                 0.5797,                 0.2274,                0.18692,                0.08764,                      0,                    inf,                      0,              0.0092872,              0.0092872,              0.0092872
                     11,                 1.3422,                  1.981,                 1.8483,                0.47984,                0.26007,                0.21521,                0.10495,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     12,                 1.3156,                 1.9356,                  1.819,                 0.5478,                0.26134,                0.22397,                0.10907,                      0,                    inf,                      0,              0.0091288,              0.0091288,              0.0091288
                     13,                 1.3087,                 1.9078,                 1.8127,                0.50732,                0.30408,                0.24692,                0.11621,                      0,                    inf,                      0,              0.0090496,              0.0090496,              0.0090496
                     14,                 1.2977,                 1.8915,                 1.8097,                0.59809,                0.27311,                 0.2449,                0.11648,                      0,                    inf,                      0,              0.0089704,              0.0089704,              0.0089704
                     15,                 1.2793,                 1.8703,                 1.7945,                0.58894,                0.26133,                0.26291,                0.11643,                      0,                    inf,                      0,              0.0088912,              0.0088912,              0.0088912
                     16,                 1.2732,                 1.8441,                 1.7842,                0.50418,                0.26461,                0.26226,                0.12594,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     17,                 1.2601,                 1.7913,                 1.7674,                0.49445,                0.30475,                0.26726,                0.13069,                      0,                    inf,                      0,              0.0087328,              0.0087328,              0.0087328
                     18,                 1.2535,                 1.7849,                 1.7634,                0.60916,                0.28406,                0.27234,                 0.1253,                      0,                    inf,                      0,              0.0086536,              0.0086536,              0.0086536
                     19,                 1.2367,                 1.7347,                 1.7402,                0.49581,                0.28262,                0.26759,                0.12839,                      0,                    inf,                      0,              0.0085744,              0.0085744,              0.0085744
                     20,                 1.2267,                 1.7376,                 1.7363,                 0.6058,                0.27768,                0.26831,                0.12359,                      0,                    inf,                      0,              0.0084952,              0.0084952,              0.0084952
                     21,                 1.2219,                 1.7142,                  1.731,                0.62516,                0.26055,                0.26023,                0.12894,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     22,                 1.2128,                 1.6932,                 1.7148,                0.51036,                0.27145,                0.28136,                0.13553,                      0,                    inf,                      0,              0.0083368,              0.0083368,              0.0083368
                     23,                  1.204,                 1.6788,                 1.7072,                0.54812,                0.26231,                0.27042,                0.13553,                      0,                    inf,                      0,              0.0082576,              0.0082576,              0.0082576
                     24,                 1.2061,                 1.6384,                 1.6985,                0.51991,                0.28196,                 0.2824,                0.13464,                      0,                    inf,                      0,              0.0081784,              0.0081784,              0.0081784
                     25,                 1.1831,                  1.626,                 1.6933,                0.51211,                0.30616,                0.27658,                0.13049,                      0,                    inf,                      0,              0.0080992,              0.0080992,              0.0080992
                     26,                 1.1891,                 1.6314,                 1.6904,                0.48829,                0.29375,                0.26499,                0.12411,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     27,                 1.1751,                 1.6032,                 1.6749,                0.48515,                0.29688,                0.27929,                0.13675,                      0,                    inf,                      0,              0.0079408,              0.0079408,              0.0079408
                     28,                  1.163,                 1.5527,                 1.6615,                0.63576,                0.28923,                0.30409,                0.14331,                      0,                    inf,                      0,              0.0078616,              0.0078616,              0.0078616
                     29,                  1.165,                 1.5626,                 1.6622,                0.56196,                0.31087,                0.27914,                0.13784,                      0,                    inf,                      0,              0.0077824,              0.0077824,              0.0077824
                     30,                 1.1648,                 1.5458,                  1.659,                0.58475,                0.29832,                0.30883,                0.14119,                      0,                    inf,                      0,              0.0077032,              0.0077032,              0.0077032
                     31,                 1.1443,                 1.5208,                 1.6496,                0.54608,                 0.2754,                0.28903,                0.13551,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     32,                 1.1375,                 1.5142,                 1.6402,                0.55788,                0.25802,                0.28358,                0.13447,                      0,                    inf,                      0,              0.0075448,              0.0075448,              0.0075448
                     33,                 1.1469,                 1.5075,                 1.6491,                0.55516,                0.27246,                 0.2685,                0.12946,                      0,                    inf,                      0,              0.0074656,              0.0074656,              0.0074656
                     34,                 1.1381,                 1.4953,                 1.6364,                 0.5365,                0.33684,                0.30132,                0.14383,                      0,                    inf,                      0,              0.0073864,              0.0073864,              0.0073864
                     35,                 1.1143,                 1.4575,                 1.6185,                0.50285,                0.30412,                0.27606,                0.13414,                      0,                    inf,                      0,              0.0073072,              0.0073072,              0.0073072
                     36,                 1.1058,                 1.4535,                 1.6129,                0.54869,                0.28735,                 0.2845,                0.13913,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     37,                 1.1119,                 1.4502,                 1.6115,                  0.575,                0.30199,                0.29696,                0.13772,                      0,                    inf,                      0,              0.0071488,              0.0071488,              0.0071488
                     38,                 1.1044,                  1.408,                 1.6048,                0.63206,                0.28469,                0.28874,                0.14257,                      0,                    inf,                      0,              0.0070696,              0.0070696,              0.0070696
                     39,                 1.1032,                 1.4261,                 1.6071,                0.52196,                0.31771,                0.29838,                0.13838,                      0,                    inf,                      0,              0.0069904,              0.0069904,              0.0069904
                     40,                 1.0953,                 1.3977,                 1.5979,                0.50692,                0.29348,                0.28034,                 0.1377,                      0,                    inf,                      0,              0.0069112,              0.0069112,              0.0069112
                     41,                 1.1037,                 1.3842,                  1.602,                 0.5308,                0.29432,                0.28778,                0.12867,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     42,                 1.0872,                  1.355,                 1.5828,                0.55996,                0.30044,                0.29376,                0.13738,                      0,                    inf,                      0,              0.0067528,              0.0067528,              0.0067528
                     43,                 1.0793,                 1.3426,                 1.5773,                0.53649,                0.31165,                0.30143,                0.14858,                      0,                    inf,                      0,              0.0066736,              0.0066736,              0.0066736
                     44,                 1.0722,                 1.3264,                  1.568,                0.57059,                 0.3095,                0.29548,                0.14012,                      0,                    inf,                      0,              0.0065944,              0.0065944,              0.0065944
                     45,                 1.0715,                  1.327,                 1.5717,                0.35766,                0.34417,                0.29052,                0.13344,                      0,                    inf,                      0,              0.0065152,              0.0065152,              0.0065152
                     46,                  1.069,                 1.3115,                 1.5714,                0.60809,                0.32956,                0.31512,                0.14979,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     47,                 1.0524,                 1.3044,                 1.5598,                0.47369,                0.32403,                0.27422,                0.13487,                      0,                    inf,                      0,              0.0063568,              0.0063568,              0.0063568
                     48,                 1.0653,                  1.289,                 1.5563,                0.62132,                0.29913,                0.31245,                0.14596,                      0,                    inf,                      0,              0.0062776,              0.0062776,              0.0062776
                     49,                 1.0533,                 1.2583,                 1.5502,                0.61147,                0.31356,                0.30008,                0.14265,                      0,                    inf,                      0,              0.0061984,              0.0061984,              0.0061984
                     50,                 1.0399,                 1.2583,                 1.5434,                0.60522,                0.31811,                0.31708,                  0.152,                      0,                    inf,                      0,              0.0061192,              0.0061192,              0.0061192
                     51,                 1.0365,                 1.2408,                 1.5342,                0.70082,                0.28978,                0.29918,                0.14099,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     52,                 1.0357,                 1.2329,                 1.5354,                0.58963,                0.26888,                0.28925,                 0.1377,                      0,                    inf,                      0,              0.0059608,              0.0059608,              0.0059608
                     53,                 1.0346,                 1.2188,                 1.5337,                0.53161,                0.28401,                0.29698,                0.14384,                      0,                    inf,                      0,              0.0058816,              0.0058816,              0.0058816
                     54,                 1.0159,                 1.2021,                 1.5187,                 0.4301,                0.30368,                0.29807,                0.13957,                      0,                    inf,                      0,              0.0058024,              0.0058024,              0.0058024
                     55,                 1.0178,                 1.1979,                 1.5177,                0.52185,                0.31174,                0.29005,                0.13476,                      0,                    inf,                      0,              0.0057232,              0.0057232,              0.0057232
                     56,                 1.0272,                 1.2106,                 1.5241,                0.56584,                0.33199,                0.30183,                0.14604,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     57,                 1.0116,                 1.1694,                 1.5123,                0.50376,                0.30107,                0.29903,                0.14107,                      0,                    inf,                      0,              0.0055648,              0.0055648,              0.0055648
                     58,                 1.0169,                 1.1683,                 1.5172,                0.60897,                0.31198,                0.29779,                0.14298,                      0,                    inf,                      0,              0.0054856,              0.0054856,              0.0054856
                     59,                 1.0061,                 1.1492,                 1.5059,                0.52774,                0.35431,                0.30562,                0.14453,                      0,                    inf,                      0,              0.0054064,              0.0054064,              0.0054064
                     60,                0.99533,                 1.1437,                 1.4983,                0.56561,                0.31892,                0.28121,                0.13526,                      0,                    inf,                      0,              0.0053272,              0.0053272,              0.0053272
                     61,                0.98549,                 1.1233,                 1.4855,                0.58182,                0.31547,                0.30819,                0.14767,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     62,                0.98184,                 1.1041,                 1.4828,                0.54466,                0.34924,                0.30092,                0.14501,                      0,                    inf,                      0,              0.0051688,              0.0051688,              0.0051688
                     63,                0.97715,                 1.1053,                 1.4765,                0.56132,                  0.306,                0.29747,                0.14285,                      0,                    inf,                      0,              0.0050896,              0.0050896,              0.0050896
                     64,                0.96245,                 1.0897,                 1.4652,                0.57108,                0.31734,                0.29182,                0.13823,                      0,                    inf,                      0,              0.0050104,              0.0050104,              0.0050104
                     65,                0.96525,                 1.1073,                 1.4704,                0.33021,                0.34919,                0.30349,                0.14575,                      0,                    inf,                      0,              0.0049312,              0.0049312,              0.0049312
                     66,                0.97191,                 1.0862,                 1.4656,                0.54338,                0.32899,                0.28949,                0.13791,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     67,                0.96641,                 1.0704,                 1.4686,                0.55653,                0.33086,                0.30083,                0.13882,                      0,                    inf,                      0,              0.0047728,              0.0047728,              0.0047728
                     68,                0.95254,                 1.0617,                 1.4524,                0.57568,                0.31172,                0.29632,                0.13839,                      0,                    inf,                      0,              0.0046936,              0.0046936,              0.0046936
                     69,                0.95065,                 1.0565,                 1.4546,                0.58868,                0.32564,                0.29901,                0.14054,                      0,                    inf,                      0,              0.0046144,              0.0046144,              0.0046144
                     70,                0.94215,                 1.0283,                 1.4422,                0.56831,                0.32984,                0.30498,                0.13713,                      0,                    inf,                      0,              0.0045352,              0.0045352,              0.0045352
                     71,                0.93056,                  1.012,                 1.4359,                0.56949,                0.32464,                0.28947,                0.13635,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     72,                0.92707,                 1.0154,                 1.4332,                0.59731,                0.28719,                0.30163,                0.14509,                      0,                    inf,                      0,              0.0043768,              0.0043768,              0.0043768
                     73,                0.92031,                 1.0094,                 1.4264,                0.53924,                0.36279,                0.30763,                0.14333,                      0,                    inf,                      0,              0.0042976,              0.0042976,              0.0042976
                     74,                0.91794,                0.99273,                 1.4258,                0.59113,                0.31277,                0.30022,                0.13992,                      0,                    inf,                      0,              0.0042184,              0.0042184,              0.0042184
                     75,                0.92669,                0.99293,                 1.4288,                0.45207,                0.34304,                0.30809,                0.14133,                      0,                    inf,                      0,              0.0041392,              0.0041392,              0.0041392
                     76,                 0.9061,                 0.9629,                 1.4065,                0.58892,                0.32025,                0.28952,                0.14271,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     77,                0.91035,                0.96581,                  1.416,                0.62289,                0.27757,                0.29853,                0.14081,                      0,                    inf,                      0,              0.0039808,              0.0039808,              0.0039808
                     78,                0.91182,                0.95566,                 1.4135,                0.45133,                0.32342,                0.28169,                0.13432,                      0,                    inf,                      0,              0.0039016,              0.0039016,              0.0039016
                     79,                0.89799,                0.94708,                 1.4071,                0.56838,                0.29003,                0.28279,                0.13567,                      0,                    inf,                      0,              0.0038224,              0.0038224,              0.0038224
                     80,                0.89469,                0.93774,                 1.4043,                0.54451,                0.30525,                0.28552,                0.13794,                      0,                    inf,                      0,              0.0037432,              0.0037432,              0.0037432
                     81,                0.89979,                0.94839,                 1.3997,                0.58452,                0.30655,                0.29662,                 0.1428,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     82,                 0.8853,                0.93691,                 1.3922,                0.53442,                0.33282,                0.29416,                0.14109,                      0,                    inf,                      0,              0.0035848,              0.0035848,              0.0035848
                     83,                0.88452,                0.91911,                 1.3864,                0.56934,                0.29419,                0.29272,                0.14013,                      0,                    inf,                      0,              0.0035056,              0.0035056,              0.0035056
                     84,                0.88252,                0.91892,                 1.3846,                 0.6497,                0.30911,                0.32078,                0.15122,                      0,                    inf,                      0,              0.0034264,              0.0034264,              0.0034264
                     85,                0.87827,                0.91333,                 1.3778,                0.58072,                0.31181,                0.29793,                 0.1443,                      0,                    inf,                      0,              0.0033472,              0.0033472,              0.0033472
                     86,                0.87697,                0.89823,                 1.3799,                 0.6076,                0.30298,                0.30769,                0.14727,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     87,                0.87039,                0.88565,                 1.3727,                0.61377,                0.30151,                0.30339,                0.14414,                      0,                    inf,                      0,              0.0031888,              0.0031888,              0.0031888
                     88,                0.86315,                0.88343,                 1.3695,                0.58398,                0.33474,                0.30098,                0.14303,                      0,                    inf,                      0,              0.0031096,              0.0031096,              0.0031096
                     89,                0.86034,                0.87853,                 1.3673,                 0.5743,                0.31668,                0.30207,                0.13766,                      0,                    inf,                      0,              0.0030304,              0.0030304,              0.0030304
                     90,                0.85305,                0.87062,                 1.3568,                0.62966,                0.28631,                0.29503,                0.13699,                      0,                    inf,                      0,              0.0029512,              0.0029512,              0.0029512
                     91,                0.84321,                0.85302,                 1.3499,                0.61384,                0.30874,                0.30117,                0.13841,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     92,                0.83366,                0.84308,                 1.3459,                0.63871,                0.29593,                0.30377,                0.13881,                      0,                    inf,                      0,              0.0027928,              0.0027928,              0.0027928
                     93,                0.83764,                 0.8402,                 1.3434,                0.57399,                0.32873,                 0.3022,                0.14244,                      0,                    inf,                      0,              0.0027136,              0.0027136,              0.0027136
                     94,                0.83249,                0.83251,                 1.3402,                0.56097,                0.31765,                0.29196,                0.14504,                      0,                    inf,                      0,              0.0026344,              0.0026344,              0.0026344
                     95,                0.83053,                0.82692,                 1.3366,                0.55342,                0.33692,                0.30145,                0.14433,                      0,                    inf,                      0,              0.0025552,              0.0025552,              0.0025552
                     96,                0.81636,                0.82098,                 1.3316,                0.57179,                0.34479,                0.30939,                0.14245,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     97,                0.82121,                0.81936,                 1.3385,                0.58202,                0.31363,                0.29999,                0.13454,                      0,                    inf,                      0,              0.0023968,              0.0023968,              0.0023968
                     98,                0.81243,                0.81781,                 1.3269,                0.59404,                0.33258,                0.30538,                0.14309,                      0,                    inf,                      0,              0.0023176,              0.0023176,              0.0023176
                     99,                0.81508,                0.79985,                 1.3208,                0.56513,                 0.3116,                0.28664,                0.13611,                      0,                    inf,                      0,              0.0022384,              0.0022384,              0.0022384
                    100,                0.79839,                   0.79,                 1.3077,                0.42835,                0.34942,                0.29236,                0.13967,                      0,                    inf,                      0,              0.0021592,              0.0021592,              0.0021592
                    101,                0.80487,                0.78981,                 1.3136,                0.59278,                0.31721,                0.29426,                0.13834,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                    102,                0.78784,                0.77252,                  1.303,                0.46793,                0.33996,                0.30197,                0.13926,                      0,                    inf,                      0,              0.0020008,              0.0020008,              0.0020008
                    103,                0.79669,                0.78143,                  1.306,                0.59078,                 0.3146,                0.28245,                0.13664,                      0,                    inf,                      0,              0.0019216,              0.0019216,              0.0019216
                    104,                0.78295,                0.76988,                 1.2971,                0.55655,                0.33465,                0.29158,                0.13651,                      0,                    inf,                      0,              0.0018424,              0.0018424,              0.0018424
                    105,                0.78704,                0.76649,                 1.2998,                0.56097,                0.34147,                0.30413,                0.14144,                      0,                    inf,                      0,              0.0017632,              0.0017632,              0.0017632
                    106,                0.76885,                0.74803,                 1.2895,                0.61043,                0.33871,                0.30873,                0.14191,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                    107,                0.76859,                0.74605,                 1.2877,                0.53514,                0.33462,                0.27969,                0.13487,                      0,                    inf,                      0,              0.0016048,              0.0016048,              0.0016048
                    108,                0.76395,                0.74495,                 1.2826,                0.53076,                0.33667,                0.28371,                0.13398,                      0,                    inf,                      0,              0.0015256,              0.0015256,              0.0015256
                    109,                0.76981,                0.74864,                 1.2879,                0.58652,                0.32983,                0.28792,                0.13515,                      0,                    inf,                      0,              0.0014464,              0.0014464,              0.0014464
                    110,                0.75469,                 0.7337,                 1.2763,                0.43145,                0.32352,                0.27685,                0.13412,                      0,                    inf,                      0,              0.0013672,              0.0013672,              0.0013672
                    111,                0.76208,                0.73303,                  1.281,                0.53448,                0.33081,                0.28188,                0.13658,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                    112,                0.75731,                0.73595,                 1.2764,                0.56473,                0.33768,                0.29681,                0.14013,                      0,                    inf,                      0,              0.0012088,              0.0012088,              0.0012088
                    113,                0.74188,                0.71645,                 1.2616,                 0.4394,                0.35988,                0.29649,                0.13509,                      0,                    inf,                      0,              0.0011296,              0.0011296,              0.0011296
                    114,                0.75123,                0.71919,                 1.2662,                0.54851,                0.34041,                0.29554,                0.13747,                      0,                    inf,                      0,              0.0010504,              0.0010504,              0.0010504
                    115,                0.70549,                0.56189,                 1.2799,                0.56725,                0.36348,                0.31455,                0.14378,                      0,                    inf,                      0,              0.0009712,              0.0009712,              0.0009712
                    116,                 0.6829,                0.51613,                 1.2656,                0.58576,                0.35649,                0.31455,                0.14742,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                    117,                0.65424,                0.49342,                 1.2393,                0.55113,                0.35309,                 0.3015,                0.14444,                      0,                    inf,                      0,              0.0008128,              0.0008128,              0.0008128
                    118,                0.65402,                 0.4883,                 1.2362,                0.59788,                 0.3301,                0.30802,                0.14539,                      0,                    inf,                      0,              0.0007336,              0.0007336,              0.0007336
                    119,                0.63923,                0.47535,                 1.2235,                0.56957,                0.34213,                0.30882,                0.14728,                      0,                    inf,                      0,              0.0006544,              0.0006544,              0.0006544
                    120,                0.63529,                0.47193,                 1.2221,                0.59071,                0.33285,                0.30424,                0.14573,                      0,                    inf,                      0,              0.0005752,              0.0005752,              0.0005752
                    121,                0.63619,                0.46841,                 1.2233,                0.58012,                0.33554,                0.30396,                0.14581,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                    122,                0.60636,                0.44919,                 1.1956,                0.59068,                0.32731,                0.30557,                0.14597,                      0,                    inf,                      0,              0.0004168,              0.0004168,              0.0004168
                    123,                0.60816,                0.44762,                 1.1972,                0.57432,                0.32743,                0.29443,                0.14137,                      0,                    inf,                      0,              0.0003376,              0.0003376,              0.0003376
                    124,                 0.6015,                0.44246,                 1.1908,                 0.6035,                0.32508,                0.30248,                0.14292,                      0,                    inf,                      0,              0.0002584,              0.0002584,              0.0002584
